,street,latitude,longitude,plz
2207,Luzernerring 120,47.5662311,7.5646219,4056
2208,Steinenvorstadt 25,47.5531794,7.588982699999999,4051
2209,Centralbahnplatz 6,47.5482372,7.589212400000001,4051
2210,Hohe Winde-Strasse 5,47.5349221,7.5889313,4059
2211,Türkheimerstrasse 16,47.5582606,7.574474999999999,4055
2212,Sennheimerstrasse 35,47.553845,7.570319199999999,4054
2213,Amselstrasse 5,47.5382599,7.5863113,4059
2214,Sevogelstrasse 60,47.5501097,7.602791399999999,4052
2215,Hochstrasse 74,47.5441042,7.596116599999999,4053
2216,Hochstrasse 76,47.5440681,7.5962494,4053
2217,Holbeinstrasse 49,47.5527261,7.5847302,4051
2218,Spitalstrasse 33,47.5634318,7.5821817,4056
2219,Bürenfluhstrasse 4,47.5301232,7.599501500000001,4059
2220,Kleinriehenstrasse 31,47.5663849,7.6128727,4058
2221,Schützengraben 21,47.55582769999999,7.5819585,4051
2222,Feldbergstrasse 43,47.5663172,7.5905479,4057
2223,Im Sesselacker 23,47.5367523,7.5988862,4059
2224,Therwilerstrasse 28,47.5501548,7.576606399999999,4054
2225,Morgartenring 169,47.55076039999999,7.5660335,4054
2226,Lenzgasse 29,47.5685807,7.570740400000001,4056
2227,Lenzgasse 31,47.5686978,7.570581199999999,4056
2228,Kleinriehenstrasse 15,47.5659898,7.6124461,4058
2229,Schlachthofstrasse,47.5769774,7.569077,4056
2230,Spalenring 71,47.5585386,7.5751798,4055
2231,Birmannsgasse 46,47.55731480000001,7.575787900000001,4055
2232,Reinacherstrasse 132,47.53604360000001,7.604167599999998,4053
2233,Baumgartenweg 4,47.5424279,7.5945907,4053
2234,Giessliweg 72,47.5802752,7.590654000000001,4057
2235,Neuhausstrasse 47,47.5824887,7.5966553,4057
2236,Spalenring 142,47.5550723,7.575593,4055
2237,Falkensteinerstrasse 6,47.54041549999999,7.6019939,4053
2238,Breisacherstrasse 38,47.5656442,7.5893633,4057
2239,Erstfeldstrasse 57,47.5478335,7.5613241,4054
2240,Hammerstrasse 131,47.5673007,7.5949359,4057
2241,Marktgasse 3,47.55967510000001,7.5878007,4051
2242,Schalerstrasse 8,47.5488346,7.574969100000001,4054
2243,Emil Angst-Strasse 2,47.5300749,7.6019315,4059
2244,Leonhardsgraben 9,47.556616,7.584533,4051
2245,St. Johanns-Ring 38,47.5647951,7.577840200000001,4056
2246,Holeestrasse 7,47.5442393,7.5745722,4054
2247,C.F. Meyer-Strasse 54,47.5297737,7.5919047,4059
2248,Grellingerstrasse 80,47.5487057,7.604964099999999,4052
2249,Spalentorweg 4,47.5574889,7.5805979,4051
2250,Laupenring 169,47.5489524,7.5662417,4054
2251,Kannenfeldstrasse 26,47.5630909,7.573915899999999,4056
2252,"Kannenfeldstrasse 24, 24A",47.5630099,7.573942199999999,4056
2253,Erlenstrasse 14,47.5680237,7.599131699999999,4058
2254,St. Alban-Ring 194,47.5490409,7.6095083,4052
2255,Auf der Alp 3,47.5264605,7.5916896,4059
2256,Hegenheimerstrasse 131,47.5622085,7.5668713,4055
2257,Leonhardsgraben 34,47.55609949999999,7.5850306,4051
2258,Luftmattstrasse 18,47.5478556,7.601959300000001,4052
2259,Giessliweg 56,47.5804797,7.5897869,4057
2260,Bäumlihofstrasse 80,47.5639955,7.615497599999999,4058
2261,Maulbeerstrasse 161,47.5697102,7.608730599999999,4058
